folder_name;precision_0;recall_0;test_acc;randomsplit
fold0;0.8178005218505859;0.779951810836792;0.7849711179733276;0
fold1;0.8371777534484863;0.8424040079116821;0.8406445980072021;0
fold2;0.7584834098815918;0.7510445713996887;0.7711092829704285;0
fold3;0.8050252199172974;0.7903077006340027;0.8108465671539307;0
fold4;0.7588452696800232;0.7447651624679565;0.7423200607299805;0
fold0;0.8047453761100769;0.7068633437156677;0.718497097492218;1
fold1;0.825310468673706;0.8010125756263733;0.8070725202560425;1
fold2;0.7528916001319885;0.7553756237030029;0.7653145790100098;1
fold3;0.79630446434021;0.7511614561080933;0.7865961194038391;1
fold4;0.7716646194458008;0.7380901575088501;0.7482805848121643;1
fold0;0.7999738454818726;0.7791788578033447;0.7809248566627502;2
fold1;0.8400670886039734;0.8141306042671204;0.8272157311439514;2
fold2;0.7707586288452148;0.7951071262359619;0.7806291580200195;2
fold3;0.8096221685409546;0.7954574823379517;0.8143739104270935;2
fold4;0.7814195156097412;0.7466755509376526;0.7542411684989929;2
