folder_name;precision_0;recall_0;test_acc;randomsplit
fold0;0.8059291839599609;0.7249374985694885;0.7341040372848511;0
fold1;0.7523884773254395;0.7139828205108643;0.7299578189849854;0
fold2;0.7270633578300476;0.7261298894882202;0.7338576316833496;0
fold3;0.749040961265564;0.7076900601387024;0.7398589253425598;0
fold4;0.7485193014144897;0.6780898571014404;0.7060981392860413;0
fold0;0.7892321348190308;0.771405816078186;0.7722543478012085;1
fold1;0.803497314453125;0.7746645212173462;0.7932489514350891;1
fold2;0.7687471508979797;0.752619206905365;0.7760761380195618;1
fold3;0.7373725175857544;0.733535885810852;0.7411816716194153;1
fold4;0.7935793995857239;0.6700147390365601;0.7203117609024048;1
fold0;0.8054666519165039;0.7872200608253479;0.7890173196792603;2
fold1;0.7722172737121582;0.7932635545730591;0.7763713002204895;2
fold2;0.7590423822402954;0.7168442010879517;0.752897322177887;2
fold3;0.7975709438323975;0.8143548965454102;0.8064373731613159;2
fold4;0.780042290687561;0.6784193515777588;0.7093076705932617;2
