folder_name;precision_0;recall_0;test_acc;randomsplit
fold0;0.7868780493736267;0.7102790474891663;0.7196531891822815;0
fold1;0.8174234628677368;0.7617272138595581;0.7891674041748047;0
fold2;0.7734202146530151;0.7465870380401611;0.7752483487129211;0
fold3;0.8134260177612305;0.7524289488792419;0.7940917015075684;0
fold4;0.7895486354827881;0.721591055393219;0.7436955571174622;0
fold0;0.7556924223899841;0.6369178891181946;0.6508670449256897;1
fold1;0.848772406578064;0.8470325469970703;0.8478066325187683;1
fold2;0.7802755832672119;0.8007315397262573;0.7909768223762512;1
fold3;0.82061767578125;0.8361347913742065;0.8306878209114075;1
fold4;0.7753386497497559;0.7621353268623352;0.7615772485733032;1
fold0;0.766045093536377;0.7234418392181396;0.7294797897338867;2
fold1;0.8207372426986694;0.7799385190010071;0.8021486401557922;2
fold2;0.7487186789512634;0.7715127468109131;0.7677980065345764;2
fold3;0.7973480224609375;0.7768934965133667;0.7998236417770386;2
fold4;0.7641369104385376;0.749609112739563;0.7592847347259521;2
