folder_name;precision_0;recall_0;test_acc;randomsplit
fold0;0.7747811079025269;0.7086753249168396;0.7167630195617676;0
fold1;0.8241946697235107;0.812057614326477;0.8213965892791748;0
fold2;0.7859666347503662;0.6458415389060974;0.7264072895050049;0
fold3;0.7635778188705444;0.6732802987098694;0.7142857313156128;0
fold4;0.7034091949462891;0.7277964353561401;0.7065566182136536;0
fold0;0.7809351682662964;0.7506540417671204;0.7537572383880615;1
fold1;0.8111779689788818;0.8185160160064697;0.8142345547676086;1
fold2;0.7869089841842651;0.7879408597946167;0.7975993156433105;1
fold3;0.7971632480621338;0.7974920272827148;0.8055555820465088;1
fold4;0.7672291994094849;0.7233964204788208;0.7381935119628906;1
fold0;0.7795132398605347;0.7389598488807678;0.7439306378364563;2
fold1;0.83171546459198;0.841266393661499;0.8366159200668335;2
fold2;0.7770721316337585;0.7715784311294556;0.7835264801979065;2
fold3;0.786516010761261;0.7704668641090393;0.7883597612380981;2
fold4;0.7514772415161133;0.7638575434684753;0.75469970703125;2
