folder_name;test_acc_1;precision_tl(0);recall_tl(0)
fold0_fold0;0.7156069278717041;0.7700686454772949;0.7050914764404297
fold0_fold1;0.6734104156494141;0.7249384522438049;0.6659296751022339
fold0_fold2;0.6676300764083862;0.7160693407058716;0.6560587882995605
fold0_fold3;0.736994206905365;0.7378903031349182;0.7371755242347717
fold0_fold4;0.7196531891822815;0.7368407249450684;0.7197345495223999
fold1_fold0;0.8111011385917664;0.824219822883606;0.7994537353515625
fold1_fold1;0.8236347436904907;0.819236159324646;0.832223653793335
fold1_fold2;0.8406445980072021;0.8389357328414917;0.8449548482894897
fold1_fold3;0.8178156018257141;0.8369815349578857;0.7978991270065308
fold1_fold4;0.7882721424102783;0.7861841320991516;0.8237301111221313
fold2_fold0;0.7442052960395813;0.7461417317390442;0.7177737951278687
fold2_fold1;0.7690397500991821;0.7543668746948242;0.7627480030059814
fold2_fold2;0.7479304671287537;0.7347018122673035;0.726198136806488
fold2_fold3;0.7752483487129211;0.761959969997406;0.7990031242370605
fold2_fold4;0.7574503421783447;0.7637354731559753;0.7706979513168335
fold3_fold0;0.7367724776268005;0.7306723594665527;0.690879225730896
fold3_fold1;0.7314814925193787;0.7228317856788635;0.7082756161689758
fold3_fold2;0.7958554029464722;0.783795952796936;0.7870347499847412
fold3_fold3;0.8139329552650452;0.8130964040756226;0.8096233606338501
fold3_fold4;0.721781313419342;0.7054198384284973;0.7136215567588806
fold4_fold0;0.7624942660331726;0.782011866569519;0.7548783421516418
fold4_fold1;0.7446125745773315;0.7406278252601624;0.7515092492103577
fold4_fold2;0.740944504737854;0.7463308572769165;0.7355729937553406
fold4_fold3;0.7377349734306335;0.739277720451355;0.760122537612915
fold4_fold4;0.7212287783622742;0.7659039497375488;0.6976810693740845
