folder_name;test_acc_1;precision_tl(0);recall_tl(0)
fold0_fold0;0.7878612875938416;0.8443999290466309;0.7790544033050537
fold0_fold1;0.7173410654067993;0.7726423144340515;0.7067391872406006
fold0_fold2;0.7300577759742737;0.7846245765686035;0.7188866138458252
fold0_fold3;0.7693641781806946;0.7762003540992737;0.7698209881782532
fold0_fold4;0.7404624223709106;0.7592456936836243;0.7399741411209106
fold1_fold0;0.828558623790741;0.8350951671600342;0.8186583518981934
fold1_fold1;0.8357206583023071;0.8324221968650818;0.8401681184768677
fold1_fold2;0.7972247004508972;0.8231366872787476;0.7665702700614929
fold1_fold3;0.7936437129974365;0.8274632692337036;0.7655379772186279
fold1_fold4;0.7994628548622131;0.8000879287719727;0.8295548558235168
fold2_fold0;0.7330297827720642;0.7208730578422546;0.7278327941894531
fold2_fold1;0.7309602499008179;0.7231248021125793;0.7150669097900391
fold2_fold2;0.7408940196037292;0.7505207657814026;0.6852593421936035
fold2_fold3;0.7644867300987244;0.7477741241455078;0.7545531988143921
fold2_fold4;0.7425496578216553;0.7460728883743286;0.7677209973335266
fold3_fold0;0.761904776096344;0.7825276851654053;0.7220368385314941
fold3_fold1;0.7557319402694702;0.7736009359359741;0.7265981435775757
fold3_fold2;0.791887104511261;0.7949565052986145;0.7701188921928406
fold3_fold3;0.8240740895271301;0.8181872367858887;0.8226796388626099
fold3_fold4;0.7429453134536743;0.7362147569656372;0.7210444211959839
fold4_fold0;0.7326914072036743;0.7504518032073975;0.7248911261558533
fold4_fold1;0.7221457958221436;0.7155882120132446;0.7452207207679749
fold4_fold2;0.73911052942276;0.7325425148010254;0.7468962073326111
fold4_fold3;0.7267308831214905;0.7436491250991821;0.7281205058097839
fold4_fold4;0.7180192470550537;0.7216320037841797;0.7481469511985779
