folder_name;test_acc_1;precision_tl(0);recall_tl(0)
fold0_fold0;0.7127167582511902;0.7867565155029297;0.7000762224197388
fold0_fold1;0.7150288820266724;0.7651522159576416;0.7048995494842529
fold0_fold2;0.6624277234077454;0.7105242609977722;0.6495504379272461
fold0_fold3;0.7416185140609741;0.7492060661315918;0.741827666759491
fold0_fold4;0.6710982918739319;0.7092143297195435;0.6669784188270569
fold1_fold0;0.8088630437850952;0.8152327537536621;0.8021172881126404
fold1_fold1;0.7945389151573181;0.7948311567306519;0.793596625328064
fold1_fold2;0.7972247004508972;0.7903103232383728;0.8033750057220459
fold1_fold3;0.7676813006401062;0.773531436920166;0.754184365272522
fold1_fold4;0.7797672152519226;0.782492995262146;0.8201097846031189
fold2_fold0;0.7442052960395813;0.7450779676437378;0.7115020155906677
fold2_fold1;0.7682119011878967;0.7502011060714722;0.7652175426483154
fold2_fold2;0.7591059803962708;0.7417303323745728;0.7388919591903687
fold2_fold3;0.7839403748512268;0.7637136578559875;0.7868160009384155
fold2_fold4;0.7706953883171082;0.7711070775985718;0.7927935123443604
fold3_fold0;0.7764550447463989;0.7873350381851196;0.7392303943634033
fold3_fold1;0.7707231044769287;0.7760518789291382;0.7387937903404236
fold3_fold2;0.820105791091919;0.8128920793533325;0.8153302669525146
fold3_fold3;0.8121693134307861;0.8091990947723389;0.8174128532409668
fold3_fold4;0.7742504477500916;0.765753448009491;0.7701115608215332
fold4_fold0;0.7271893620491028;0.7438842058181763;0.7082824110984802
fold4_fold1;0.732232928276062;0.7817690372467041;0.6875550746917725
fold4_fold2;0.7487391233444214;0.7865742444992065;0.7112215161323547
fold4_fold3;0.7258138656616211;0.7457244992256165;0.7288408279418945
fold4_fold4;0.7473635673522949;0.7581873536109924;0.751399040222168
